(hola, hello)  
(adiós, goodbye)  
(gracias, thank you)  
(por favor, please)  
(sí, yes)  
(no, no)  
(amigo, friend)  
(familia, family)  
(escuela, school)  
(profesor, teacher)  
(niño, boy)  
(niña, girl)  
(agua, water)  
(comida, food)  
(casa, house)  
(perro, dog)  
(gato, cat)  
(ciudad, city)  
(mundo, world)  
(amor, love)  
(tiempo, time)  
(día, day)  
(noche, night)  
(mañana, morning)  
(trabajo, work)  
(dinero, money)  
(viaje, trip)  
(coche, car)  
(bicicleta, bicycle)  
(camino, road)  
(libro, book)  
(música, music)  
(película, movie)  
(juego, game)  
(computadora, computer)  
(teléfono, phone)  
(ropa, clothes)  
(zapato, shoe)  
(cielo, sky)  
(mar, sea)  
(montaña, mountain)  
(bosque, forest)  
(flor, flower)  
(árbol, tree)  
(sol, sun)  
(luna, moon)  
(estrella, star)  
(aire, air)  
(fuego, fire)  
(tierra, earth)  
