(hallo, hello)
(haus, house)
(katze, cat)
(hund, dog)
(schule, school)
(buch, book)
(apfel, apple)
(käse, cheese)
(auto, car)
(sonne, sun)
(mond, moon)
(blume, flower)
(wasser, water)
(freund, friend)
(familie, family)
(liebe, love)
(musik, music)
(reise, travel)
(zeit, time)
(winter, winter)
(sommer, summer)
(frühling, spring)
(herbst, autumn)
(schnee, snow)
(regen, rain)
(wind, wind)
(meer, sea)
(berg, mountain)
(fluss, river)
(wald, forest)
(garten, garden)
(tür, door)
(fenster, window)
(stuhl, chair)
(tisch, table)
(küche, kitchen)
(schlafzimmer, bedroom)
(zimmer, room)
(stern, star)
(nacht, night)
(tag, day)
(stunde, hour)
(minute, minute)
(sekunde, second)
(geld, money)
(bank, bank)
(restaurant, restaurant)
(krankenhaus, hospital)
(brücke, bridge)
(weg, path)
