(bonjour, hello)
(maison, house)
(chat, cat)
(chien, dog)
(école, school)
(livre, book)
(pomme, apple)
(fromage, cheese)
(voiture, car)
(soleil, sun)
(lune, moon)
(fleur, flower)
(eau, water)
(ami, friend)
(famille, family)
(amour, love)
(musique, music)
(voyage, travel)
(temps, time)
(hiver, winter)
(été, summer)
(printemps, spring)
(automne, autumn)
(neige, snow)
(pluie, rain)
(vent, wind)
(mer, sea)
(montagne, mountain)
(rivière, river)
(forêt, forest)
(jardin, garden)
(porte, door)
(fenêtre, window)
(chaise, chair)
(table, table)
(cuisine, kitchen)
(chambre, bedroom)
(salle, room)
(étoile, star)
(nuit, night)
(jour, day)
(heure, hour)
(minute, minute)
(seconde, second)
(argent, money)
(banque, bank)
(restaurant, restaurant)
(hôpital, hospital)
(pont, bridge)
(chemin, path)
